"TownID","CityNAME","TownName","Long","Lat"
"0900701","連江縣","南竿鄉",119.9321,26.15613
"0900702","連江縣","北竿鄉",119.98707,26.23205
"0900703","連江縣","莒光鄉",119.95438,25.96817
"0900704","連江縣","東引鄉",120.48796,26.37007
"0902001","金門縣","金城鎮",118.31494,24.41056
"0902002","金門縣","金沙鎮",118.42325,24.48558
"0902003","金門縣","金湖鎮",118.4186,24.44213
"0902004","金門縣","金寧鄉",118.33044,24.45306
"0902005","金門縣","烈嶼鄉",118.2362,24.42819
"0902006","金門縣","烏坵鄉",119.4587,24.98906
"1000201","宜蘭縣","宜蘭市",121.75693,24.75031
"1000202","宜蘭縣","羅東鎮",121.77018,24.67894
"1000203","宜蘭縣","蘇澳鎮",121.83526,24.55577
"1000204","宜蘭縣","頭城鎮",121.84761,24.90139
"1000205","宜蘭縣","礁溪鄉",121.73467,24.81153
"1000206","宜蘭縣","壯圍鄉",121.80174,24.75193
"1000207","宜蘭縣","員山鄉",121.66123,24.74208
"1000208","宜蘭縣","冬山鄉",121.76027,24.64224
"1000209","宜蘭縣","五結鄉",121.80578,24.68901
"1000210","宜蘭縣","三星鄉",121.6643,24.66781
"1000211","宜蘭縣","大同鄉",121.51537,24.54546
"1000212","宜蘭縣","南澳鄉",121.66506,24.44128
"1000401","新竹縣","竹北市",120.99442,24.83838
"1000402","新竹縣","竹東鎮",121.07534,24.73088
"1000403","新竹縣","新埔鎮",121.09398,24.84145
"1000404","新竹縣","關西鎮",121.1866,24.78525
"1000405","新竹縣","湖口鄉",121.0517,24.88576
"1000406","新竹縣","新豐鄉",120.99569,24.90723
"1000407","新竹縣","芎林鄉",121.10464,24.76581
"1000408","新竹縣","橫山鄉",121.14698,24.70791
"1000409","新竹縣","北埔鄉",121.06427,24.67218
"1000410","新竹縣","寶山鄉",120.99915,24.73707
"1000411","新竹縣","峨眉鄉",121.01108,24.67821
"1000412","新竹縣","尖石鄉",121.28194,24.59503
"1000413","新竹縣","五峰鄉",121.13897,24.57816
"1000501","苗栗縣","苗栗市",120.81122,24.56393
"1000502","苗栗縣","苑裡鎮",120.68822,24.41112
"1000503","苗栗縣","通霄鎮",120.71456,24.48514
"1000504","苗栗縣","竹南鎮",120.87772,24.69873
"1000505","苗栗縣","頭份鎮",120.91895,24.67639
"1000506","苗栗縣","後龍鎮",120.7812,24.61575
"1000507","苗栗縣","卓蘭鎮",120.85604,24.32539
"1000508","苗栗縣","大湖鄉",120.86314,24.3938
"1000509","苗栗縣","公館鄉",120.85059,24.50261
"1000510","苗栗縣","銅鑼鄉",120.7992,24.45603
"1000511","苗栗縣","南庄鄉",121.01749,24.5662
"1000512","苗栗縣","頭屋鄉",120.88266,24.57357
"1000513","苗栗縣","三義鄉",120.77019,24.38093
"1000514","苗栗縣","西湖鄉",120.76141,24.54164
"1000515","苗栗縣","造橋鄉",120.86956,24.62492
"1000516","苗栗縣","三灣鄉",120.95257,24.63609
"1000517","苗栗縣","獅潭鄉",120.92069,24.51991
"1000518","苗栗縣","泰安鄉",121.06829,24.41928
"1000701","彰化縣","彰化市",120.56939,24.07543
"1000702","彰化縣","鹿港鎮",120.43388,24.08304
"1000703","彰化縣","和美鎮",120.51119,24.11388
"1000704","彰化縣","線西鄉",120.45067,24.13295
"1000705","彰化縣","伸港鄉",120.48599,24.16405
"1000706","彰化縣","福興鄉",120.43098,24.03033
"1000707","彰化縣","秀水鄉",120.50411,24.03258
"1000708","彰化縣","花壇鄉",120.55975,24.03016
"1000709","彰化縣","芬園鄉",120.62945,24.00637
"1000710","彰化縣","員林鎮",120.59309,23.9566
"1000711","彰化縣","溪湖鎮",120.48318,23.9518
"1000712","彰化縣","田中鎮",120.59036,23.85734
"1000713","彰化縣","大村鄉",120.55868,23.99219
"1000714","彰化縣","埔鹽鄉",120.45944,23.99213
"1000715","彰化縣","埔心鄉",120.53427,23.95287
"1000716","彰化縣","永靖鄉",120.5416,23.92149
"1000717","彰化縣","社頭鄉",120.6022,23.90545
"1000718","彰化縣","二水鄉",120.6286,23.80932
"1000719","彰化縣","北斗鎮",120.53314,23.86771
"1000720","彰化縣","二林鎮",120.40422,23.9163
"1000721","彰化縣","田尾鄉",120.52232,23.90069
"1000722","彰化縣","埤頭鄉",120.46756,23.88244
"1000723","彰化縣","芳苑鄉",120.35394,23.95385
"1000724","彰化縣","大城鄉",120.31131,23.85079
"1000725","彰化縣","竹塘鄉",120.41365,23.85068
"1000726","彰化縣","溪州鄉",120.52249,23.82734
"1000801","南投縣","南投市",120.67881,23.9218
"1000802","南投縣","埔里鎮",120.96257,23.97901
"1000803","南投縣","草屯鎮",120.7321,23.98336
"1000804","南投縣","竹山鎮",120.7101,23.69819
"1000805","南投縣","集集鎮",120.78529,23.83709
"1000806","南投縣","名間鄉",120.67745,23.85117
"1000807","南投縣","鹿谷鄉",120.78153,23.73788
"1000808","南投縣","中寮鄉",120.78602,23.90605
"1000809","南投縣","魚池鄉",120.92573,23.87609
"1000810","南投縣","國姓鄉",120.86755,24.03133
"1000811","南投縣","水里鄉",120.86227,23.79627
"1000812","南投縣","信義鄉",121.02135,23.65561
"1000813","南投縣","仁愛鄉",121.14445,24.0287
"1000901","雲林縣","斗六市",120.56008,23.70661
"1000902","雲林縣","斗南鎮",120.48263,23.67077
"1000903","雲林縣","虎尾鎮",120.4293,23.71671
"1000904","雲林縣","西螺鎮",120.45807,23.77952
"1000905","雲林縣","土庫鎮",120.36472,23.6912
"1000906","雲林縣","北港鎮",120.29401,23.59229
"1000907","雲林縣","古坑鄉",120.61171,23.62557
"1000908","雲林縣","大埤鄉",120.42555,23.64569
"1000909","雲林縣","莿桐鄉",120.52903,23.76983
"1000910","雲林縣","林內鄉",120.61549,23.75587
"1000911","雲林縣","二崙鄉",120.39645,23.79265
"1000912","雲林縣","崙背鄉",120.33396,23.77859
"1000913","雲林縣","麥寮鄉",120.2436,23.78828
"1000914","雲林縣","東勢鄉",120.25641,23.69622
"1000915","雲林縣","褒忠鄉",120.31161,23.71622
"1000916","雲林縣","臺西鄉",120.2054,23.71607
"1000917","雲林縣","元長鄉",120.32795,23.64252
"1000918","雲林縣","四湖鄉",120.20633,23.64223
"1000919","雲林縣","口湖鄉",120.1414,23.5538
"1000920","雲林縣","水林鄉",120.23527,23.56172
"1001001","嘉義縣","太保市",120.34399,23.47302
"1001002","嘉義縣","朴子市",120.25384,23.44615
"1001003","嘉義縣","布袋鎮",120.17701,23.37513
"1001004","嘉義縣","大林鎮",120.48078,23.599
"1001005","嘉義縣","民雄鄉",120.44427,23.54265
"1001006","嘉義縣","溪口鄉",120.40102,23.59362
"1001007","嘉義縣","新港鄉",120.34828,23.54591
"1001008","嘉義縣","六腳鄉",120.27148,23.51027
"1001009","嘉義縣","東石鄉",120.17376,23.46861
"1001010","嘉義縣","義竹鄉",120.22394,23.34585
"1001011","嘉義縣","鹿草鄉",120.30454,23.40821
"1001012","嘉義縣","水上鄉",120.41473,23.4292
"1001013","嘉義縣","中埔鄉",120.53653,23.40418
"1001014","嘉義縣","竹崎鄉",120.59656,23.50384
"1001015","嘉義縣","梅山鄉",120.63877,23.55544
"1001016","嘉義縣","番路鄉",120.60751,23.42777
"1001017","嘉義縣","大埔鄉",120.58965,23.28859
"1001018","嘉義縣","阿里山鄉",120.75965,23.44092
"1001301","屏東縣","屏東市",120.48,22.66484
"1001302","屏東縣","潮州鎮",120.5568,22.53652
"1001303","屏東縣","東港鎮",120.47512,22.46275
"1001304","屏東縣","恆春鎮",120.76325,21.98542
"1001305","屏東縣","萬丹鄉",120.47696,22.58819
"1001306","屏東縣","長治鄉",120.55599,22.69465
"1001307","屏東縣","麟洛鄉",120.52997,22.64886
"1001308","屏東縣","九如鄉",120.48449,22.73178
"1001309","屏東縣","里港鄉",120.50613,22.79864
"1001310","屏東縣","鹽埔鄉",120.56939,22.74263
"1001311","屏東縣","高樹鄉",120.60177,22.81001
"1001312","屏東縣","萬巒鄉",120.60184,22.58244
"1001313","屏東縣","內埔鄉",120.58883,22.65126
"1001314","屏東縣","竹田鄉",120.52787,22.58969
"1001315","屏東縣","新埤鄉",120.58462,22.48686
"1001316","屏東縣","枋寮鄉",120.59759,22.40345
"1001317","屏東縣","新園鄉",120.45017,22.51724
"1001318","屏東縣","崁頂鄉",120.50066,22.51537
"1001319","屏東縣","林邊鄉",120.51252,22.44153
"1001320","屏東縣","南州鄉",120.51806,22.4799
"1001321","屏東縣","佳冬鄉",120.54762,22.42991
"1001322","屏東縣","琉球鄉",120.37098,22.34016
"1001323","屏東縣","車城鄉",120.74343,22.0792
"1001324","屏東縣","滿州鄉",120.84357,22.04939
"1001325","屏東縣","枋山鄉",120.65673,22.27102
"1001326","屏東縣","三地門鄉",120.68653,22.79797
"1001327","屏東縣","霧台鄉",120.80082,22.76001
"1001328","屏東縣","瑪家鄉",120.67993,22.67117
"1001329","屏東縣","泰武鄉",120.69181,22.60419
"1001330","屏東縣","來義鄉",120.68572,22.50168
"1001331","屏東縣","春日鄉",120.69759,22.40413
"1001332","屏東縣","獅子鄉",120.73571,22.2609
"1001333","屏東縣","牡丹鄉",120.81721,22.15543
"1001401","臺東縣","臺東市",121.10987,22.75158
"1001402","臺東縣","成功鎮",121.35361,23.1268
"1001403","臺東縣","關山鎮",121.17654,23.03777
"1001404","臺東縣","卑南鄉",121.00155,22.76498
"1001405","臺東縣","鹿野鄉",121.1571,22.9519
"1001406","臺東縣","池上鄉",121.21846,23.09257
"1001407","臺東縣","東河鄉",121.2518,22.9803
"1001408","臺東縣","長濱鄉",121.42601,23.33462
"1001409","臺東縣","太麻里鄉",120.9798,22.59173
"1001410","臺東縣","大武鄉",120.8981,22.38299
"1001411","臺東縣","綠島鄉",121.49009,22.66038
"1001412","臺東縣","海端鄉",121.0176,23.11492
"1001413","臺東縣","延平鄉",120.98348,22.90349
"1001414","臺東縣","金峰鄉",120.85722,22.58172
"1001415","臺東縣","達仁鄉",120.8352,22.38477
"1001416","臺東縣","蘭嶼鄉",121.55086,22.04612
"1001501","花蓮縣","花蓮市",121.60736,23.99694
